postUrl,comment_text,ownerUsername,date,month
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,"Min, saya daftar pasang baru di tanggal 31 des via aplikasi pdam, statusnya sampe skarng antri survey, koq lama ya antri surve nya??",yuroul,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,Ini ditunda jd kapan min?,a.paramita_s,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,"kalo bs pengerjaanya diats jam 7 malam ,buar kita ndak susah air sy orang menanggak , dan jika bisa diinfi dikelurahaan rt dan rw ,kemarin sy kehabisan air karena tdk tau",aan_ainur_sahabat,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTSEOrjk_5U/,Min @pdamsuryasembada daerah Setro Baru Tambaksari apa ada perbaikan? Kok sudah seminggu mati min PDAM-nya. Mohon info.,karimatunisak,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTUGBCmkwdR/,"Complain pdam kemana lg ya, udh buat pelaporan tidak ada respon, tlp call center jg gk bs",srstoresidoarjo,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTUGBCmkwdR/,"Pdam surabaya, udh buat pelaporan masih aja blm di fup sampe skr, 2 hari nunggu gk ada petugas yg datang",srstoresidoarjo,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTUGBCmkwdR/,Sudah di dm juga tidak ada respon,srstoresidoarjo,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/reel/DTVKiF_kwCZ/,Cakep Min 👏😍,widyarigga,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTTzvoaE9sQ/,Bagaimana cara cek untuk ID pelanggan baru ?,emmasmeer,10/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTZce3hE5cb/,Di jalan Pawiyatan air nya mati apa ada perbaikan.. Karena ng ada info,leonardagustinus1,12/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTZce3hE5cb/,Sampai jam berapa ya kak air nya bisa normal lagi...,soetomoandriana,12/01/2026,January
https://www.instagram.com/pdamsuryasembada/p/DTZce3hE5cb/,untuk gangguannya sampai jam brp ya min? d sidosermo air nya kecil,nvtatwn_,12/01/2026,January
