,name
1338,baggage claim
1339,left luggage
1340,warning
1341,children crossing
1342,no entry
1343,prohibited
1344,no bicycles
1345,no smoking
1346,no littering
1347,non-potable water
1348,no pedestrians
1349,no mobile phones
1350,no one under eighteen
1351,radioactive
1352,biohazard
1353,up arrow
1354,up-right arrow
1355,right arrow
1356,down-right arrow
1357,down arrow
1358,down-left arrow
1359,left arrow
1360,up-left arrow
1361,up-down arrow
1362,left-right arrow
1363,right arrow curving left
1364,left arrow curving right
1365,right arrow curving up
1366,right arrow curving down
1367,clockwise vertical arrows
1368,counterclockwise arrows button
1369,BACK arrow
1370,END arrow
1371,ON! arrow
1372,SOON arrow
1373,TOP arrow
1374,place of worship
1375,atom symbol
1376,om
1377,star of David
1378,wheel of dharma
1379,yin yang
1380,latin cross
1381,orthodox cross
1382,star and crescent
1383,peace symbol
1384,menorah
1385,dotted six-pointed star
1386,Aries
1387,Taurus
1388,Gemini
1389,Cancer
1390,Leo
1391,Virgo
1392,Libra
1393,Scorpio
1394,Sagittarius
1395,Capricorn
1396,Aquarius
1397,Pisces
1398,Ophiuchus
1399,shuffle tracks button
1400,repeat button
1401,repeat single button
1402,play button
1403,fast-forward button
1404,next track button
1405,play or pause button
1406,reverse button
1407,fast reverse button
1408,last track button
1409,upwards button
1410,fast up button
1411,downwards button
1412,fast down button
1413,pause button
1414,stop button
1415,record button
1416,eject button
1417,cinema
1418,dim button
1419,bright button
1420,antenna bars
1421,vibration mode
1422,mobile phone off
1423,female sign
1424,male sign
1425,transgender symbol
1426,multiply
1427,plus
1428,minus
1429,divide
1430,infinity
1431,double exclamation mark
1432,exclamation question mark
1433,red question mark
1434,white question mark
1435,white exclamation mark
1436,red exclamation mark
1437,wavy dash
1438,currency exchange
1439,heavy dollar sign
1440,medical symbol
1441,recycling symbol
1442,fleur-de-lis
1443,trident emblem
1444,name badge
1445,Japanese symbol for beginner
1446,hollow red circle
1447,check mark button
1448,check box with check
1449,check mark
1450,cross mark
1451,cross mark button
1452,curly loop
1453,double curly loop
1454,part alternation mark
1455,eight-spoked asterisk
1456,eight-pointed star
1457,sparkle
1458,copyright
1459,registered
1460,trade mark
1461,keycap: #
1462,keycap: *
1463,keycap: 0
1464,keycap: 1
1465,keycap: 2
1466,keycap: 3
1467,keycap: 4
1468,keycap: 5
1469,keycap: 6
1470,keycap: 7
1471,keycap: 8
1472,keycap: 9
1473,keycap: 10
1474,input latin uppercase
1475,input latin lowercase
1476,input numbers
1477,input symbols
1478,input latin letters
1479,A button (blood type)
1480,AB button (blood type)
1481,B button (blood type)
1482,CL button
1483,COOL button
1484,FREE button
1485,information
1486,ID button
1487,circled M
1488,NEW button
1489,NG button
1490,O button (blood type)
1491,OK button
1492,P button
1493,SOS button
1494,UP! button
1495,VS button
1496,Japanese “here” button
1497,Japanese “service charge” button
1498,Japanese “monthly amount” button
1499,Japanese “not free of charge” button
1500,Japanese “reserved” button
1501,Japanese “bargain” button
1502,Japanese “discount” button
1503,Japanese “free of charge” button
1504,Japanese “prohibited” button
1505,Japanese “acceptable” button
1506,Japanese “application” button
1507,Japanese “passing grade” button
1508,Japanese “vacancy” button
1509,Japanese “congratulations” button
1510,Japanese “secret” button
1511,Japanese “open for business” button
1512,Japanese “no vacancy” button
1513,red circle
1514,orange circle
1515,yellow circle
1516,green circle
1517,blue circle
1518,purple circle
1519,brown circle
1520,black circle
1521,white circle
1522,red square
1523,orange square
1524,yellow square
1525,green square
1526,blue square
1527,purple square
1528,brown square
1529,black large square
1530,white large square
1531,black medium square
1532,white medium square
1533,black medium-small square
1534,white medium-small square
1535,black small square
1536,white small square
1537,large orange diamond
1538,large blue diamond
1539,small orange diamond
1540,small blue diamond
1541,red triangle pointed up
1542,red triangle pointed down
1543,diamond with a dot
1544,radio button
1545,white square button
1546,black square button
1547,chequered flag
1548,triangular flag
1549,crossed flags
1550,black flag
1551,white flag
1552,rainbow flag
1553,transgender flag
1554,pirate flag
1555,flag: Ascension Island
1556,flag: Andorra
1557,flag: United Arab Emirates
1558,flag: Afghanistan
1559,flag: Antigua & Barbuda
1560,flag: Anguilla
1561,flag: Albania
1562,flag: Armenia
1563,flag: Angola
1564,flag: Antarctica
1565,flag: Argentina
1566,flag: American Samoa
1567,flag: Austria
1568,flag: Australia
1569,flag: Aruba
