,name
681,peanuts
682,chestnut
683,bread
684,croissant
685,baguette_bread
686,flatbread
687,pretzel
688,bagel
689,pancakes
690,waffle
691,cheese_wedge
692,meat_on_bone
693,poultry_leg
694,cut_of_meat
695,bacon
696,hamburger
697,french_fries
698,pizza
699,hot_dog
700,sandwich
701,taco
702,burrito
703,tamale
704,stuffed_flatbread
705,falafel
706,egg
707,cooking
708,shallow_pan_of_food
709,pot_of_food
710,fondue
711,bowl_with_spoon
712,green_salad
713,popcorn
714,butter
715,salt
716,canned_food
717,bento_box
718,rice_cracker
719,rice_ball
720,cooked_rice
721,curry_rice
722,steaming_bowl
723,spaghetti
724,roasted_sweet_potato
725,oden
726,sushi
727,fried_shrimp
728,fish_cake_with_swirl
729,moon_cake
730,dango
731,dumpling
732,fortune_cookie
733,takeout_box
734,crab
735,lobster
736,shrimp
737,squid
738,oyster
739,soft_ice_cream
740,shaved_ice
741,ice_cream
742,doughnut
743,cookie
744,birthday_cake
745,shortcake
746,cupcake
747,pie
748,chocolate_bar
749,candy
750,lollipop
751,custard
752,honey_pot
753,baby_bottle
754,glass_of_milk
755,hot_beverage
756,teapot
757,teacup_without_handle
758,sake
759,bottle_with_popping_cork
760,wine_glass
761,cocktail_glass
762,tropical_drink
763,beer_mug
764,clinking_beer_mugs
765,clinking_glasses
766,tumbler_glass
767,cup_with_straw
768,bubble_tea
769,beverage_box
770,mate
771,ice
772,chopsticks
773,fork_and_knife_with_plate
774,fork_and_knife
775,spoon
776,kitchen_knife
777,amphora
778,globe_showing_Europe_Africa
779,globe_showing_Americas
780,globe_showing_Asia_Australia
781,globe_with_meridians
782,world_map
783,map_of_Japan
784,compass
785,snow_capped_mountain
786,mountain
787,volcano
788,mount_fuji
789,camping
790,beach_with_umbrella
791,desert
792,desert_island
793,national_park
794,stadium
795,classical_building
796,building_construction
797,brick
798,rock
799,wood
800,hut
801,houses
802,derelict_house
803,house
804,house_with_garden
805,office_building
806,Japanese_post_office
807,post_office
808,hospital
809,bank
810,hotel
811,love_hotel
812,convenience_store
813,school
814,department_store
815,factory
816,Japanese_castle
817,castle
818,wedding
819,Tokyo_tower
820,Statue_of_Liberty
821,church
822,mosque
823,hindu_temple
824,synagogue
825,shinto_shrine
826,kaaba
827,fountain
828,tent
829,foggy
830,night_with_stars
831,cityscape
832,sunrise_over_mountains
833,sunrise
834,cityscape_at_dusk
835,sunset
836,bridge_at_night
837,hot_springs
838,carousel_horse
839,ferris_wheel
840,roller_coaster
841,barber_pole
842,circus_tent
843,locomotive
844,railway_car
845,high_speed_train
846,bullet_train
847,train
848,metro
849,light_rail
850,station
851,tram
852,monorail
853,mountain_railway
854,tram_car
855,bus
856,oncoming_bus
857,trolleybus
858,minibus
859,ambulance
860,fire_engine
861,police_car
862,oncoming_police_car
863,taxi
864,oncoming_taxi
865,automobile
866,oncoming_automobile
867,sport_utility_vehicle
868,pickup_truck
869,delivery_truck
870,articulated_lorry
871,tractor
872,racing_car
873,motorcycle
874,motor_scooter
875,manual_wheelchair
876,motorized_wheelchair
877,auto_rickshaw
878,bicycle
879,kick_scooter
880,skateboard
881,roller_skate
882,bus_stop
883,motorway
884,railway_track
885,oil_drum
886,fuel_pump
887,police_car_light
888,horizontal_traffic_light
889,vertical_traffic_light
890,stop_sign
891,construction
892,anchor
893,sailboat
894,canoe
895,speedboat
896,passenger_ship
897,ferry
898,motor_boat
899,ship
900,airplane
901,small_airplane
902,airplane_departure
903,airplane_arrival
904,parachute
905,seat
906,helicopter
907,suspension_railway
908,mountain_cableway
909,aerial_tramway
910,satellite
911,rocket
912,flying_saucer
913,bellhop_bell
914,luggage
915,hourglass_done
916,hourglass_not_done
917,watch
918,alarm_clock
919,stopwatch
920,timer_clock
921,mantelpiece_clock
922,twelve_o’clock
923,twelve_thirty
924,one_o’clock
925,one_thirty
926,two_o’clock
927,two_thirty
928,three_o’clock
929,three_thirty
930,four_o’clock
931,four_thirty
932,five_o’clock
933,five_thirty
934,six_o’clock
935,six_thirty
936,seven_o’clock
937,seven_thirty
938,eight_o’clock
939,eight_thirty
940,nine_o’clock
941,nine_thirty
942,ten_o’clock
943,ten_thirty
944,eleven_o’clock
945,eleven_thirty
946,new_moon
947,waxing_crescent_moon
948,first_quarter_moon
949,waxing_gibbous_moon
950,full_moon
951,waning_gibbous_moon
952,last_quarter_moon
953,waning_crescent_moon
954,crescent_moon
955,new_moon_face
956,first_quarter_moon_face
957,last_quarter_moon_face
958,thermometer
959,sun
960,full_moon_face
961,sun_with_face
962,ringed_planet
963,star
964,glowing_star
965,shooting_star
966,milky_way
967,cloud
968,sun_behind_cloud
969,cloud_with_lightning_and_rain
970,sun_behind_small_cloud
971,sun_behind_large_cloud
972,sun_behind_rain_cloud
973,cloud_with_rain
974,cloud_with_snow
975,cloud_with_lightning
976,tornado
977,fog
978,wind_face
979,cyclone
980,rainbow
981,closed_umbrella
982,umbrella
983,umbrella_with_rain_drops
984,umbrella_on_ground
985,high_voltage
986,snowflake
987,snowman
988,snowman_without_snow
989,comet
990,fire
991,droplet
992,water_wave
993,jack_o_lantern
994,Christmas_tree
995,fireworks
996,sparkler
997,firecracker
998,sparkles
999,balloon
1000,party_popper
1001,confetti_ball
1002,tanabata_tree
1003,pine_decoration
1004,Japanese_dolls
1005,carp_streamer
1006,wind_chime
1007,moon_viewing_ceremony
1008,red_envelope
1009,ribbon
1010,wrapped_gift
1011,reminder_ribbon
1012,admission_tickets
1013,ticket
1014,military_medal
1015,trophy
1016,sports_medal
1017,1st_place_medal
1018,2nd_place_medal
1019,3rd_place_medal
1020,soccer_ball
1021,baseball
1022,softball
1023,basketball
1024,volleyball
1025,american_football
1026,rugby_football
1027,tennis
1028,flying_disc
1029,bowling
1030,cricket_game
1031,field_hockey
1032,ice_hockey
1033,lacrosse
1034,ping_pong
1035,badminton
1036,boxing_glove
1037,martial_arts_uniform
1038,goal_net
1039,flag_in_hole
1040,ice_skate
1041,fishing_pole
1042,diving_mask
1043,running_shirt
1044,skis
1045,sled
1046,curling_stone
1047,bullseye
1048,yo_yo
1049,kite
1050,pool_8_ball
1051,crystal_ball
1052,magic_wand
1053,nazar_amulet
1054,video_game
1055,joystick
1056,slot_machine
1057,game_die
1058,puzzle_piece
1059,teddy_bear
1060,piñata
1061,nesting_dolls
1062,spade_suit
1063,heart_suit
1064,diamond_suit
1065,club_suit
1066,chess_pawn
1067,joker
1068,mahjong_red_dragon
1069,flower_playing_cards
1070,performing_arts
1071,framed_picture
1072,artist_palette
1073,thread
1074,sewing_needle
1075,yarn
1076,knot
1077,glasses
1078,sunglasses
1079,goggles
1080,lab_coat
1081,safety_vest
1082,necktie
1083,t_shirt
1084,jeans
1085,scarf
1086,gloves
1087,coat
1088,socks
1089,dress
1090,kimono
1091,sari
1092,one_piece_swimsuit
1093,briefs
1094,shorts
1095,bikini
1096,woman’s_clothes
1097,purse
1098,handbag
1099,clutch_bag
1100,shopping_bags
1101,backpack
1102,thong_sandal
1103,man’s_shoe
1104,running_shoe
1105,hiking_boot
1106,flat_shoe
1107,high_heeled_shoe
1108,woman’s_sandal
1109,ballet_shoes
1110,woman’s_boot
1111,crown
1112,woman’s_hat
1113,top_hat
1114,graduation_cap
1115,billed_cap
1116,military_helmet
1117,rescue_worker’s_helmet
1118,prayer_beads
1119,lipstick
1120,ring
1121,gem_stone
1122,muted_speaker
1123,speaker_low_volume
1124,speaker_medium_volume
1125,speaker_high_volume
1126,loudspeaker
1127,megaphone
1128,postal_horn
1129,bell
1130,bell_with_slash
1131,musical_score
1132,musical_note
1133,musical_notes
1134,studio_microphone
1135,level_slider
1136,control_knobs
1137,microphone
1138,headphone
1139,radio
1140,saxophone
1141,accordion
1142,guitar
1143,musical_keyboard
1144,trumpet
1145,violin
1146,banjo
1147,drum
1148,long_drum
1149,mobile_phone
1150,mobile_phone_with_arrow
1151,telephone
1152,telephone_receiver
1153,pager
1154,fax_machine
1155,battery
1156,electric_plug
1157,laptop
1158,desktop_computer
1159,printer
1160,keyboard
1161,computer_mouse
1162,trackball
1163,computer_disk
1164,floppy_disk
1165,optical_disk
1166,dvd
1167,abacus
1168,movie_camera
1169,film_frames
1170,film_projector
1171,clapper_board
1172,television
1173,camera
1174,camera_with_flash
1175,video_camera
1176,videocassette
1177,magnifying_glass_tilted_left
1178,magnifying_glass_tilted_right
1179,candle
1180,light_bulb
1181,flashlight
1182,red_paper_lantern
1183,diya_lamp
1184,notebook_with_decorative_cover
1185,closed_book
1186,open_book
1187,green_book
1188,blue_book
1189,orange_book
1190,books
1191,notebook
1192,ledger
1193,page_with_curl
1194,scroll
1195,page_facing_up
1196,newspaper
1197,rolled_up_newspaper
1198,bookmark_tabs
1199,bookmark
1200,label
1201,money_bag
1202,coin
1203,yen_banknote
1204,dollar_banknote
1205,euro_banknote
1206,pound_banknote
1207,money_with_wings
1208,credit_card
1209,receipt
1210,chart_increasing_with_yen
1211,envelope
1212,e_mail
1213,incoming_envelope
1214,envelope_with_arrow
1215,outbox_tray
1216,inbox_tray
1217,package
1218,closed_mailbox_with_raised_flag
1219,closed_mailbox_with_lowered_flag
1220,open_mailbox_with_raised_flag
1221,open_mailbox_with_lowered_flag
1222,postbox
1223,ballot_box_with_ballot
1224,pencil
1225,black_nib
1226,fountain_pen
1227,pen
1228,paintbrush
1229,crayon
1230,memo
1231,briefcase
1232,file_folder
1233,open_file_folder
1234,card_index_dividers
1235,calendar
1236,tear_off_calendar
1237,spiral_notepad
1238,spiral_calendar
1239,card_index
1240,chart_increasing
1241,chart_decreasing
1242,bar_chart
1243,clipboard
1244,pushpin
1245,round_pushpin
1246,paperclip
1247,linked_paperclips
1248,straight_ruler
1249,triangular_ruler
1250,scissors
1251,card_file_box
1252,file_cabinet
1253,wastebasket
1254,locked
1255,unlocked
1256,locked_with_pen
1257,locked_with_key
1258,key
1259,old_key
1260,hammer
1261,axe
1262,pick
1263,hammer_and_pick
1264,hammer_and_wrench
1265,dagger
1266,crossed_swords
1267,water_pistol
1268,boomerang
1269,bow_and_arrow
1270,shield
1271,carpentry_saw
1272,wrench
1273,screwdriver
1274,nut_and_bolt
1275,gear
1276,clamp
1277,balance_scale
1278,white_cane
1279,link
1280,chains
1281,hook
1282,toolbox
1283,magnet
1284,ladder
1285,alembic
1286,test_tube
1287,petri_dish
1288,dna
1289,microscope
1290,telescope
1291,satellite_antenna
1292,syringe
1293,drop_of_blood
1294,pill
1295,adhesive_bandage
1296,stethoscope
1297,door
1298,elevator
1299,mirror
1300,window
1301,bed
1302,couch_and_lamp
1303,chair
1304,toilet
1305,plunger
1306,shower
1307,bathtub
1308,mouse_trap
1309,razor
1310,lotion_bottle
1311,safety_pin
1312,broom
1313,basket
1314,roll_of_paper
1315,bucket
1316,soap
1317,toothbrush
1318,sponge
1319,fire_extinguisher
1320,shopping_cart
1321,cigarette
1322,coffin
1323,headstone
1324,funeral_urn
1325,moai
1326,placard
1327,ATM_sign
1328,litter_in_bin_sign
1329,potable_water
1330,wheelchair_symbol
1331,men’s_room
1332,women’s_room
1333,restroom
1334,baby_symbol
1335,water_closet
1336,passport_control
1337,customs
1338,baggage_claim
1339,left_luggage
1340,warning
1341,children_crossing
1342,no_entry
1343,prohibited
1344,no_bicycles
1345,no_smoking
1346,no_littering
1347,non_potable_water
1348,no_pedestrians
1349,no_mobile_phones
1350,no_one_under_eighteen
1351,radioactive
1352,biohazard
1353,up_arrow
1354,up_right_arrow
1355,right_arrow
1356,down_right_arrow
1357,down_arrow
1358,down_left_arrow
1359,left_arrow
1360,up_left_arrow
1361,up_down_arrow
1362,left_right_arrow
1363,right_arrow_curving_left
1364,left_arrow_curving_right
1365,right_arrow_curving_up
1366,right_arrow_curving_down
1367,clockwise_vertical_arrows
1368,counterclockwise_arrows_button
1369,BACK_arrow
1370,END_arrow
1371,ON!_arrow
1372,SOON_arrow
1373,TOP_arrow
1374,place_of_worship
1375,atom_symbol
1376,om
1377,star_of_David
1378,wheel_of_dharma
1379,yin_yang
1380,latin_cross
1381,orthodox_cross
1382,star_and_crescent
1383,peace_symbol
1384,menorah
1385,dotted_six_pointed_star
1386,Aries
1387,Taurus
1388,Gemini
1389,Cancer
1390,Leo
1391,Virgo
1392,Libra
1393,Scorpio
1394,Sagittarius
1395,Capricorn
1396,Aquarius
1397,Pisces
1398,Ophiuchus
1399,shuffle_tracks_button
1400,repeat_button
1401,repeat_single_button
1402,play_button
1403,fast_forward_button
1404,next_track_button
1405,play_or_pause_button
1406,reverse_button
1407,fast_reverse_button
1408,last_track_button
1409,upwards_button
1410,fast_up_button
1411,downwards_button
1412,fast_down_button
1413,pause_button
1414,stop_button
1415,record_button
1416,eject_button
1417,cinema
1418,dim_button
1419,bright_button
1420,antenna_bars
1421,vibration_mode
1422,mobile_phone_off
1423,female_sign
1424,male_sign
1425,transgender_symbol
1426,multiply
1427,plus
1428,minus
1429,divide
1430,infinity
1431,double_exclamation_mark
1432,exclamation_question_mark
1433,red_question_mark
1434,white_question_mark
1435,white_exclamation_mark
1436,red_exclamation_mark
1437,wavy_dash
1438,currency_exchange
1439,heavy_dollar_sign
1440,medical_symbol
1441,recycling_symbol
1442,fleur_de_lis
1443,trident_emblem
1444,name_badge
1445,Japanese_symbol_for_beginner
1446,hollow_red_circle
1447,check_mark_button
1448,check_box_with_check
1449,check_mark
1450,cross_mark
1451,cross_mark_button
1452,curly_loop
1453,double_curly_loop
